serial,year,month,day,local pressure,sea pressure,total preci,hr1 preci,min10 preci,avg temp,max temp,min temp,avg humid,min humid,sun hours,bloom
1806,1965,12,12,999.7,1004,0,0,0,10.3,17.6,5.5,63,35,6.9,0
1807,1965,12,13,1015.1,1019.5,0,0,0,9,12.7,5.9,39,35,8.9,0
1808,1965,12,14,1014.2,1018.6,0,0,0,7,10.6,4.1,59,47,4.2,0
1809,1965,12,15,1003.1,1007.4,0,0,0,7.7,12.3,4.6,64,44,0,0
1810,1965,12,16,997.7,1002.2,0,0,0,4.3,7.9,1.2,38,24,8.4,0
1811,1965,12,17,1006.2,1010.6,0,0,0,3.6,8.5,-1.4,35,21,9.3,0
1812,1965,12,18,1016,1020.5,0,0,0,5,10,-1.2,40,24,8.2,0
1813,1965,12,19,1018.1,1022.6,0,0,0,5.7,11,0.8,62,37,4.7,0
1814,1965,12,20,1014.3,1018.7,2.5,1.5,0.5,6.5,8.8,3.1,70,62,0.7,0
1815,1965,12,21,1011.5,1015.9,0,0,0,9,15,2.7,63,40,5.5,0
1816,1965,12,22,1016.4,1020.8,3,4,1,9.5,13.5,4.5,64,48,6.1,0
1817,1965,12,23,997.6,1002,29.5,7.5,2,7.5,9.4,6,85,69,0,0
1818,1965,12,24,992.2,996.5,0,0,0,8.8,14.7,2.6,52,33,5.3,0
1819,1965,12,25,1010.1,1014.5,0,0,0,3.6,7.9,0,38,27,8.6,0
1820,1965,12,26,1016.7,1021.2,0,0,0,3.3,7,0.9,53,40,1.4,0
1821,1965,12,27,1022,1026.5,0,0,0,5.1,8.8,1.7,51,33,7.6,0
1822,1965,12,28,1022.2,1026.7,1.5,2,0.5,4.5,6.9,1.1,67,52,0.2,0
1823,1965,12,29,1009.3,1013.7,20,5.5,1.5,9,12,5.4,86,77,1.4,0
1824,1965,12,30,1003.2,1007.6,0,0,0,8.2,11,5.1,60,39,0.8,0
1825,1965,12,31,1007.5,1012,0,0,0,3.3,6.6,1,35,21,8.8,0
1826,1966,1,1,1009.4,1013.9,0,0,0,3.3,7.9,-1.2,39,20,9,0
1827,1966,1,2,1013.8,1018.3,0,0,0,4.2,9.4,-0.1,37,20,9,0
1828,1966,1,3,1017.6,1022.1,0,0,0,5.5,10.7,-0.4,42,24,8.3,0
1829,1966,1,4,998.4,1002.7,22.5,9.5,2,3.9,7,2.3,74,52,0,0
1830,1966,1,5,995.9,1000.2,0,0,0,7.3,12.4,1.9,45,26,9,0
1831,1966,1,6,1005.3,1009.7,0,0,0,5.9,11.4,0.4,48,28,8.3,0
1832,1966,1,7,1001.9,1006.3,0,0,0,7.6,15.5,1.2,50,27,7.8,0
1833,1966,1,8,1006.6,1011,0,0,0,4.8,10.6,0.6,47,34,8.5,0
1834,1966,1,9,1014.7,1019.1,0,0,0,4.3,9.1,0.9,37,28,8.9,0
1835,1966,1,10,1017.2,1021.7,0.1,0.1,0.1,3.8,8,-1.1,55,39,1,0
1836,1966,1,11,1005.1,1009.4,0,0,0,8.3,16.5,2.2,52,28,6.7,0
1837,1966,1,12,1016,1020.4,0,0,0,6.1,8.2,3.5,49,40,0.1,0
1838,1966,1,13,1011,1015.4,1,1,0.5,4.9,6.6,2.7,75,60,0,0
1839,1966,1,14,1004.9,1009.3,0,0,0,5.7,8.2,1.7,45,31,4.8,0
1840,1966,1,15,1010.1,1014.5,0,0,0,5.1,10.8,-0.5,48,27,8.7,0
1841,1966,1,16,1011.7,1016.2,0,0,0,5.9,10.4,0.3,54,32,6.1,0
1842,1966,1,17,1006.4,1010.8,0,0,0,8.1,17.2,0.9,50,24,8.3,0
1843,1966,1,18,1008.9,1013.3,0,0,0,5.2,7.2,1.9,41,34,0,0
1844,1966,1,19,1004.4,1008.8,0,0,0,3.7,9.8,-0.9,34,16,8.4,0
1845,1966,1,20,1010.9,1015.4,0,0,0,1.5,5.7,-1.9,32,22,9.6,0
1846,1966,1,21,1015.1,1019.7,0,0,0,2.3,7.4,-2.9,41,20,7.7,0
1847,1966,1,22,1018.4,1023,0,0,0,2.8,7.5,-2.3,45,17,8.7,0
1848,1966,1,23,1019,1023.5,0,0,0,1.9,5.8,-2.8,47,30,0.7,0
1849,1966,1,24,1019.9,1024.5,0,0,0,1.8,5.4,-2,43,19,9.7,0
1850,1966,1,25,1020.8,1025.4,0,0,0,1.1,5,-2.7,47,38,1.1,0
1851,1966,1,26,1007.3,1011.7,0,0,0,6.7,12,1.6,38,26,8.7,0
1852,1966,1,27,1008,1012.4,0,0,0,3.6,6.2,0.7,36,25,6.2,0
1853,1966,1,28,1011.6,1016.1,0,0,0,2.8,5.8,-1.3,38,31,7.7,0
1854,1966,1,29,1006.5,1010.9,0,0,0,4.2,10.1,-2,51,32,9.1,0
1855,1966,1,30,1009.9,1014.3,0,0,0,5.6,9.2,1.5,45,32,7.8,0
1856,1966,1,31,1011.7,1016.1,0,0,0,6.2,10.9,2,56,44,5.9,0
1857,1966,2,1,1008.2,1012.6,0,0,0,6.9,11.8,1.8,55,35,7.8,0
1858,1966,2,2,1008.7,1013.1,0,0,0,8,12.3,2.7,62,53,2.5,0
1859,1966,2,3,1001.8,1006.1,0,0,0,12.1,19.1,6,62,42,6.4,0
1860,1966,2,4,1000.7,1005,0,0,0,8.9,13,5.4,37,26,8.8,0
1861,1966,2,5,1001.9,1006.3,0,0,0,4.9,9.3,1.3,32,21,9,0
1862,1966,2,6,1006.1,1010.6,0,0,0,2.2,6.5,-1.5,36,21,6.3,0
1863,1966,2,7,1015.7,1020.2,0,0,0,1.8,6.5,-2.2,32,19,9.7,0
1864,1966,2,8,1015.3,1019.8,0,0,0,4.4,8.8,-1.1,42,30,8.4,0
1865,1966,2,9,1013.1,1017.6,0,0,0,7.7,14.8,-0.2,43,25,9.7,0
1866,1966,2,10,1008.9,1013.2,0,0,0,11.4,16.7,2.1,47,37,4.7,0
1867,1966,2,11,1000.7,1004.9,0,0,0,11.3,16.8,4.3,39,27,5.2,0
1868,1966,2,12,1011.9,1016.3,0,0,0,4.4,8,1.3,31,23,9,0
1869,1966,2,13,1009.6,1014.1,0,0,0,5.1,9.2,0.4,38,31,6.3,0
1870,1966,2,14,1009.6,1013.9,0,0,0,5.5,9.7,2.6,36,24,9.8,0
1871,1966,2,15,1015.4,1019.9,0,0,0,5.8,10.3,1.5,45,27,5.7,0
1872,1966,2,16,1013.4,1017.7,0,0,0,8.8,14.2,0.3,42,28,4.1,0
1873,1966,2,17,1007.8,1012.2,6.5,2,0.5,7.2,9.3,6.8,74,52,0,0
1874,1966,2,18,1004.9,1009.3,0,0,0,8.3,13,3.2,58,36,4.6,0
1875,1966,2,19,1018.4,1022.8,0,0,0,6.5,9.7,2.3,39,25,8.5,0
1876,1966,2,20,1021,1025.4,20,5,2,7.2,11.2,3.8,63,45,0.9,0
1877,1966,2,21,1012.3,1016.7,14,5,2,10.6,15.6,6.1,72,55,2.8,0
1878,1966,2,22,1008.4,1012.7,5,2,1,10.6,12.1,9.5,75,66,0,0
1879,1966,2,23,1004.7,1009.1,3.5,2.5,1,5.2,10.9,-0.6,49,30,3.3,0
1880,1966,2,24,1023,1027.5,0,0,0,3,7.4,-3.2,41,30,7.3,0
1881,1966,2,25,1023.3,1027.8,5.5,2,0.5,4.5,6.8,1.7,72,46,0,0
1882,1966,2,26,1018.9,1023.3,0,0,0,8.5,13.4,2.8,79,54,0.2,0
1883,1966,2,27,1014.7,1019.1,51.5,12,2.5,8.2,9.9,7.2,81,65,0,0
1884,1966,2,28,1004.1,1008.3,16,9,2.5,13.1,18.9,8.2,51,30,8.6,0
1885,1966,3,1,1015.1,1019.4,0,0,0,12.7,18.8,6.2,59,39,8.7,0
1886,1966,3,2,1012.7,1017,0.6,0.3,0.1,13.8,18.6,7.6,69,50,4.8,0
1887,1966,3,3,1006.7,1011,0.5,0.4,0.2,15.5,18.5,12.5,74,60,0,0
1888,1966,3,4,1003.2,1007.4,0.5,0.4,0.4,14.2,15.4,13.1,94,83,0,0
1889,1966,3,5,999.8,1004,1,0.8,0.3,13.2,21.6,5.4,54,26,10.9,0
1890,1966,3,6,1014.5,1018.9,0.3,0.2,0.1,4.8,6.2,3.1,55,32,0,0
1891,1966,3,7,1003.8,1008.2,13.5,5,2,4.4,5.9,2.5,89,71,0,0
1892,1966,3,8,1012.5,1016.9,1.5,0.5,0.2,3.7,5,2.2,73,62,0.2,0
1893,1966,3,9,1016.9,1021.4,0,0,0,5.4,7.5,3.2,67,62,0,0
1894,1966,3,10,1013.8,1018.2,0,0,0,7.6,11.9,4,64,46,3.8,0
1895,1966,3,11,1016.8,1021.2,0,0,0,9.2,12.5,4.1,50,30,5.6,0
1896,1966,3,12,1016.1,1020.5,0,0,0,11.5,15.7,6.8,59,35,6.4,0
1897,1966,3,13,1010.6,1014.9,0,0,0,13.4,18.5,6.7,69,47,8.9,0
1898,1966,3,14,1008,1012.4,0,0,0,12.3,17.4,8.6,51,25,7.1,0
1899,1966,3,15,1012.5,1016.9,12,3.5,1,7.3,9.7,4.7,54,40,0,0
1900,1966,3,16,989.5,993.7,19,4.5,2,11.6,20.3,3.6,55,25,9.7,0
1901,1966,3,17,1003.7,1008,0,0,0,10.4,16,5.9,34,29,10.8,0
1902,1966,3,18,1004.3,1008.6,3.5,3,0.7,9.7,13.9,4.1,46,34,5.9,0
1903,1966,3,19,984.2,988.4,7,3.5,1,10.5,16.5,7.1,59,22,4.2,0
1904,1966,3,20,995.7,1000,0,0,0,7,12.5,3.1,42,26,7.8,1
1905,1966,3,21,1005.2,1009.5,0,0,0,7.2,13.2,1.2,40,24,11.1,0
1906,1966,3,22,1000.9,1005.3,2.5,2,0.5,8,12.9,3.3,62,39,0.4,0
1907,1966,3,23,990.9,995.1,0,0,0,12,16,6.7,64,44,1,0
1908,1966,3,24,1000.8,1005.1,0,0,0,11.8,14.8,8.3,42,33,9.9,0
1909,1966,3,25,1005.6,1010,0,0,0,8.6,11.4,5.9,32,22,3.8,0
1910,1966,3,26,1012.5,1016.9,0,0,0,8.4,13.4,4,31,23,9.8,0
1911,1966,3,27,1017.5,1022,1.5,0.6,0.2,8.2,11.8,5,54,39,2,0
1912,1966,3,28,1015,1019.4,4.5,1,0.5,7.8,9.6,6.6,81,69,0,0
1913,1966,3,29,998.1,1002.5,32,9,2.5,9.1,14.3,4.5,72,39,4.2,0
1914,1966,3,30,1008,1012.4,0,0,0,8.8,13,6,37,23,11.2,0
1915,1966,3,31,1017.6,1022,0,0,0,8.2,11.1,4.1,47,33,2.2,0
1916,1966,4,1,1006,1010.4,12.5,3,1,8,12.5,5,73,31,0,0
1917,1966,4,2,1014.1,1018.5,0,0,0,11.8,17.8,6.1,46,20,11.5,0
1918,1966,4,3,1010.1,1014.4,0,0,0,14.6,20.7,7.7,55,32,9,0
1919,1966,4,4,1005.7,1010,20.5,4,1,9.6,15.5,5.1,79,53,0,0
1920,1966,4,5,1015.7,1020.1,0,0,0,8.8,13,5.1,53,37,8.5,0
1921,1966,4,6,1023.2,1027.6,0,0,0,11.7,15.2,7.1,57,42,3.1,0
1922,1966,4,7,1009.5,1013.8,16,6.5,1.5,13.1,16.5,9.9,83,47,0.4,0
1923,1966,4,8,1013.5,1017.8,0,0,0,12.2,14,10.6,62,44,0,0
1924,1966,4,9,1011.8,1016.2,2,1,0.4,12.9,16.1,9.2,73,60,0.9,0
1925,1966,4,10,1014,1018.3,0.5,0.4,0.1,10.3,13.5,8.1,55,34,6.9,0
1926,1966,4,11,1016.9,1021.3,1.5,1,0.3,8.9,11.4,6.9,64,54,0.5,0
1927,1966,4,12,1010.2,1014.6,11.5,2,1,10.7,17,6.3,71,20,4.9,0
1928,1966,4,13,1015,1019.4,0,0,0,13,17.7,6,49,32,10.1,0
1929,1966,4,14,1013.2,1017.5,0,0,0,14.6,19.7,10.3,60,29,8.5,0
1930,1966,4,15,1009.4,1013.7,8.5,3.5,1,13.7,16,10.7,86,77,0,0
1931,1966,4,16,990.4,994.6,10,3.5,0.8,17.5,25.3,12.6,69,22,6.7,0
1932,1966,4,17,996.4,1000.6,0,0,0,12.2,16.9,7.8,40,28,8.6,0
1933,1966,4,18,1009.2,1013.5,0,0,0,11.8,17.3,6.2,40,26,11.6,0
1934,1966,4,19,1016.2,1020.6,0,0,0,9.9,12,7.7,67,59,0,0
1935,1966,4,20,1018.4,1022.8,0,0,0,13,17.3,8.8,62,41,6.4,0
1936,1966,4,21,1017.5,1021.8,0,0,0,15.2,19.9,8.6,68,38,9.3,0
1937,1966,4,22,1013,1017.3,1.5,1,0.2,14.3,15.9,12.6,77,65,0,0
1938,1966,4,23,1015.5,1019.8,0.7,0.5,0.3,14,17.5,11.2,78,66,0.7,0
1939,1966,4,24,1012.3,1016.6,30,3.5,0.9,15.3,16.8,13.6,96,92,0,0
1940,1966,4,25,1012,1016.3,0,0,0,17.5,22.7,13.6,75,53,6.9,0
1941,1966,4,26,1009.6,1013.8,0,0,0,18.8,22.6,14.3,75,51,6.4,0
1942,1966,4,27,997.9,1001.9,0,0,0,22.5,26.4,17.8,73,63,4.8,0
1943,1966,4,28,1006.1,1010.4,3.5,1,0.3,16.5,21.5,15,84,75,0,0
1944,1966,4,29,1006.2,1010.4,0,0,0,18.9,23.6,14.9,78,63,5.3,0
1945,1966,4,30,1007.5,1011.7,15,11,5,16,19.9,12.7,81,53,1.6,0
1946,1966,5,1,1019.6,1023.9,0,0,0,14.1,16.6,9.8,47,36,5.9,0
1947,1966,5,2,1006.9,1011.2,24,8,2,16,19.4,12.8,80,57,2.2,0
1948,1966,5,3,989.4,993.6,0,0,0,18.3,22.9,13.5,66,29,8.4,0
1949,1966,5,4,1002.3,1006.5,0,0,0,16.8,22.4,11.6,47,33,11.6,0
1950,1966,5,5,1014.6,1018.8,0,0,0,15.6,19.5,11.8,55,44,11.3,0
1951,1966,5,6,1019.6,1023.9,0,0,0,17.4,21.6,12.1,67,53,10.1,0
1952,1966,5,7,1014.5,1018.7,16.5,10.5,2.5,18.5,21.2,15,69,57,3.7,0
1953,1966,5,8,993.9,998,18,10.5,2,20.1,27.2,14.2,66,33,6.9,0
1954,1966,5,9,1004.7,1008.8,0,0,0,20,24.1,14,46,29,12.6,0
1955,1966,5,10,999.6,1003.7,0,0,0,22.1,27.5,17.4,52,27,11.3,0
1956,1966,5,11,999.8,1004,8.5,4.5,1.5,17.6,22.1,15.1,67,32,3.1,0
1957,1966,5,12,1011.5,1015.8,0,0,0,16.6,21.5,12.8,48,31,12.8,0
1958,1966,5,13,1011.3,1015.6,0,0,0,18.2,23.9,11.1,63,41,12.2,0
1959,1966,5,14,1009.7,1013.9,0,0,0,19.4,23.5,13.5,68,58,10,0
1960,1966,5,15,999.5,1003.7,19.7,7,2,19.2,23.2,15.9,79,58,1.4,0
1961,1966,5,16,1003,1007.2,0,0,0,16.9,22.9,14.1,63,28,5.3,0
1962,1966,5,17,1013.1,1017.4,0,0,0,16.4,20.9,12.4,44,23,11.6,0
1963,1966,5,18,1018.2,1022.5,0,0,0,16.7,21.5,10.7,46,27,12.5,0
1964,1966,5,19,1017.6,1021.8,0,0,0,19.7,26,12.6,47,23,13.1,0
1965,1966,5,20,1016.6,1020.8,0,0,0,20.2,25.5,13.8,49,25,11.2,0
1966,1966,5,21,1015.8,1020,9,3.5,1,18,22.9,14,61,41,0,0
1967,1966,5,22,1010.7,1015,45.5,4.5,1,13.7,15.1,12.8,83,76,0,0
1968,1966,5,23,1004.4,1008.7,33.5,6,1.5,11.2,13,9.8,84,67,0,0
1969,1966,5,24,1005.1,1009.4,0,0,0,14,19.1,9,64,43,7.9,0
1970,1966,5,25,1005.5,1009.8,1.5,1,0.3,15.1,18.8,12.3,74,50,2.2,0
1971,1966,5,26,1008.2,1012.4,0,0,0,18.9,24.4,13.2,68,44,9.6,0
1972,1966,5,27,1012.3,1016.5,0,0,0,21.1,26.9,14,52,21,11.7,0
1973,1966,5,28,1009.8,1014,0,0,0,21,26.3,14.1,62,40,9.4,0
1974,1966,5,29,1006.4,1010.5,0,0,0,21.6,24.4,19.2,64,55,1,0
1975,1966,5,30,1002.2,1006.3,20,7.5,3.5,20.1,24.1,17.4,73,54,6.7,0
1976,1966,5,31,1009.1,1013.4,0,0,0,19.8,24.1,15.9,59,33,6.9,0
1977,1966,6,1,1008.1,1012.4,26.5,3.5,1,16.7,19.4,14.4,78,61,0,0
1978,1966,6,2,1006.5,1010.8,2,1.5,0.4,15.3,18.9,13.5,77,60,0.7,0
1979,1966,6,3,1010.7,1014.9,0,0,0,15.3,18.9,12.3,71,62,4,0
1980,1966,6,4,1004.6,1008.8,36,6.5,1.5,14.9,17.1,13,79,71,0,0
1981,1966,6,5,1005.3,1009.5,0,0,0,17.1,20.7,12.8,72,55,5.4,0
1982,1966,6,6,1009.6,1013.8,0,0,0,19.5,24,15.6,73,61,3,0
1983,1966,6,7,1009.2,1013.4,39.5,39.5,35,20.8,25.7,16.1,72,53,10.2,0
1984,1966,6,8,1012.5,1016.7,0,0,0,19.9,24.2,16.6,71,53,9.3,0
1985,1966,6,9,1007.1,1011.3,55,8.5,3,17.4,18.7,16.1,86,75,0,0
1986,1966,6,10,996.6,1000.8,33.5,8,2,14.9,16.5,13.2,84,67,0,0
1987,1966,6,11,1006.9,1011.1,2,1.5,0.5,15.2,18.6,11.8,71,56,2.5,0
1988,1966,6,12,1014.5,1018.8,0,0,0,14.6,18.6,11.1,74,58,1.4,0
1989,1966,6,13,1013.1,1017.4,0,0,0,18.7,23.9,12,65,43,12.6,0
1990,1966,6,14,1010.3,1014.5,0,0,0,21.1,25.3,15.2,70,51,12.8,0
1991,1966,6,15,1010.6,1014.8,0,0,0,22.3,25.5,18.5,66,50,9.7,0
1992,1966,6,16,1007.2,1011.5,67.5,8.5,2,17.9,20.9,16.5,88,69,0,0
1993,1966,6,17,1003.8,1007.9,0.2,0.2,0.2,20.7,25.6,16.3,70,54,4.3,0
1994,1966,6,18,1006.9,1011,0,0,0,20.2,23,18.4,74,64,2.2,0
1995,1966,6,19,1009.8,1013.9,0,0,0,21.4,25.1,17.3,70,55,3.3,0
1996,1966,6,20,1006.3,1010.5,1.5,0.7,0.3,22.8,25.5,19.3,78,67,0.1,0
1997,1966,6,21,1005,1009.1,0,0,0,24.3,29.4,20.8,70,60,5.1,0
1998,1966,6,22,1008.6,1012.7,0,0,0,24.8,28.6,20.7,58,44,5.9,0
1999,1966,6,23,1008.3,1012.5,11.5,0,0,23.5,27.8,19.5,66,50,3.5,0
2000,1966,6,24,1009.6,1013.7,0,0.8,0,21.7,25.5,19,69,55,2.6,0
2001,1966,6,25,1006.6,1010.8,0,0,0,22.7,25.6,19.9,75,67,2.1,0
2002,1966,6,26,1002.5,1006.6,0,0,0,25.9,30.1,21.6,76,59,9.5,0
2003,1966,6,27,1002.1,1006.1,9.5,10,2,25.1,30.1,19.7,72,58,7,0
2004,1966,6,28,991,995.1,225.5,30,9.5,21.2,23.6,19,92,71,0,0
2005,1966,6,29,995,999.1,0,0,0,25.5,30.5,20.4,57,36,11.4,0
2006,1966,6,30,1003.4,1007.5,0,0,0,22.3,26.2,19.1,61,44,8.7,0
2007,1966,7,1,1001.5,1005.6,5.5,11,1.5,20.2,22,17.9,79,71,0,0
2008,1966,7,2,993.7,997.8,52.5,17,5.5,20.8,28.6,15.9,77,57,7.9,0
2009,1966,7,3,1002.5,1006.7,0.6,0.2,0.1,15.1,16.4,14.2,81,72,0,0
2010,1966,7,4,1005.2,1009.4,0.4,0.2,0,17.6,21.5,14.1,75,60,2.7,0
2011,1966,7,5,1006.7,1010.9,0,0,0,20.3,25.1,15.2,66,46,7.5,0
2012,1966,7,6,1008.2,1012.3,0,0,0,21.7,24.3,19.2,68,58,2.8,0
2013,1966,7,7,1005.4,1009.5,23.5,10,2.5,21.6,24.1,19.2,81,59,0.6,0
2014,1966,7,8,997.3,1001.4,5,2,1.5,24.3,26.6,20.6,82,74,0.6,0
2015,1966,7,9,1000.9,1005,19.5,4,1.5,23.4,25,22,85,76,0,0
2016,1966,7,10,1005.1,1009.3,23.5,13.5,3.5,22,24.4,19.8,84,67,0,0
2017,1966,7,11,1005.3,1009.5,0.5,0.3,0.1,23.3,26,20.2,80,67,0.4,0
2018,1966,7,12,1001.9,1006,2.5,1,0.7,24.4,28.1,20,76,63,0,0
2019,1966,7,13,1009.5,1013.6,0.1,0.1,0,22.9,26.6,19.5,74,60,3.7,0
2020,1966,7,14,1012.9,1017,0,0,0,23.6,27.2,20.1,73,55,2.9,0
2021,1966,7,15,1010,1014.1,0,0,0,25.1,28.3,22.3,74,56,3.4,0
2022,1966,7,16,1005.6,1009.7,0,0,0,26.2,29.1,23.6,78,66,0.8,0
2023,1966,7,17,1002.8,1006.8,0,0,0,27,30.1,24.9,71,60,2.3,0
2024,1966,7,18,1004.3,1008.4,0.3,0.3,0.1,25.7,29.7,23.8,80,61,3.6,0
2025,1966,7,19,1005.3,1009.3,0.9,0.4,0.3,26.1,29.2,22.9,78,66,4.3,0
2026,1966,7,20,1005.7,1009.7,0,0,0,26.6,29.9,23.8,80,64,2.4,0
2027,1966,7,21,1004.7,1008.8,0,0,0,26.9,31.2,23.7,76,63,8.5,0
2028,1966,7,22,1004.4,1008.5,15.5,10.5,4,27,32.3,23.6,75,57,5.2,0
2029,1966,7,23,1008.9,1013,10.5,8,3,24.9,28.1,22.5,75,58,0.7,0
2030,1966,7,24,1009.4,1013.4,0,0,0,25.4,29.1,22.8,79,66,2.8,0
2031,1966,7,25,1007.9,1011.9,0,0,0,27.3,31.2,24.3,75,57,4.5,0
2032,1966,7,26,1008.2,1012.3,0,0,0,27.6,32,24.8,77,61,8.1,0
2033,1966,7,27,1009.1,1013.1,0,0,0,28.2,31.8,25.1,75,63,9.7,0
2034,1966,7,28,1008.4,1012.5,0,0,0,28.7,32.6,25.4,69,56,12.3,0
2035,1966,7,29,1006.5,1010.6,0,0,0,28.7,32.2,25.9,69,57,9,0
2036,1966,7,30,1003.2,1007.3,0,0,0,27.2,30.3,25.5,77,63,2.5,0
2037,1966,7,31,996.6,1000.6,0,0,0,28.1,33,25.8,67,45,3.4,0
2038,1966,8,1,999.8,1003.8,0,0,0,25.6,28.8,23.3,54,45,5.6,0
2039,1966,8,2,1001.2,1005.3,0,0,0,24,26.3,21.2,64,52,5.5,0
2040,1966,8,3,998.6,1002.7,0,0,0,24.5,26.6,21.4,74,68,1.2,0
2041,1966,8,4,999.2,1003.2,0,0,0,25.3,29.6,22.7,71,53,6.5,0
2042,1966,8,5,1001.4,1005.4,0,0,0,26.1,30,22.4,64,56,7.3,0
2043,1966,8,6,999.6,1003.6,0,0,0,27.3,32.1,22.7,66,43,9.9,0
2044,1966,8,7,999.1,1003.1,0,0,0,28.8,33.9,24.4,64,46,10.5,0
2045,1966,8,8,1001.7,1005.7,0,0,0,27.9,34.9,24,65,42,11.3,0
2046,1966,8,9,1005.5,1009.6,0,0,0,25.2,27.7,23.3,69,62,0,0
2047,1966,8,10,1006.4,1010.5,0,0,0,25.6,28.1,22.1,74,63,0,0
2048,1966,8,11,1007.1,1011.1,0,0,0,28,31.2,25.8,74,63,6.7,0
2049,1966,8,12,1007,1011,0,0,0,29.1,33.4,26,67,52,8.8,0
2050,1966,8,13,1005,1009,0,0,0,28.9,32.9,25,63,54,11.5,0
2051,1966,8,14,1006.3,1010.3,0,0,0,27.6,31,24.2,69,54,3,0
2052,1966,8,15,1010,1014.1,0,0,0,26.4,28.3,25.4,73,65,0,0
2053,1966,8,16,1009.3,1013.4,25.5,11.5,6,25.8,27.9,24,79,64,0,0
2054,1966,8,17,1003.2,1007.2,0,0,0,28,31.7,25.7,73,57,9.9,0
2055,1966,8,18,1000,1004,0,0,0,28.4,32,25.8,75,61,11.1,0
2056,1966,8,19,1004.6,1008.6,6.5,3.5,2,27.8,31.4,25.9,80,63,6,0
2057,1966,8,20,1009.2,1013.2,0,0,0,28.5,32.4,26.2,72,52,11.4,0
2058,1966,8,21,1009.1,1013.2,8.5,6,5.5,25.9,29.9,24.4,84,71,2.4,0
2059,1966,8,22,1005.9,1010,12.5,2.5,1,26.3,28.7,23.7,87,73,1.4,0
2060,1966,8,23,1009.2,1013.2,1.5,1.5,1.5,27.5,30.8,25.1,82,63,8.3,0
2061,1966,8,24,1009.2,1013.3,0,0,0,28.7,31.8,25.9,72,61,10.6,0
2062,1966,8,25,1009.2,1013.3,0,0,0,28,32.1,25.1,73,53,6.3,0
2063,1966,8,26,1010.9,1014.9,0,0,0,25.6,29.5,22.6,77,64,2.1,0
2064,1966,8,27,1013.5,1017.6,0,0,0,25.7,29.5,22,65,53,3.3,0
2065,1966,8,28,1010.9,1015,0,0,0,27.1,30.9,22.9,68,55,11.3,0
2066,1966,8,29,1009.4,1013.5,0,0,0,27.2,30.9,23.3,69,57,11.6,0
2067,1966,8,30,1010.7,1014.8,0,0,0,27.1,30.4,23.7,64,48,10.9,0
2068,1966,8,31,1010.5,1014.6,0,0,0,26.7,30,22.7,64,44,9.9,0
2069,1966,9,1,1007.1,1011.1,0,0,0,28,32.8,21.6,64,48,9.6,0
2070,1966,9,2,1007.1,1011.2,0,0,0,28.1,32.3,25.3,71,51,4.2,0
2071,1966,9,3,1007.4,1011.5,11.5,6,3,26.2,29.6,23.5,80,65,2,0
2072,1966,9,4,1005.3,1009.4,6.5,4,2,26.1,30.3,23.3,80,62,6.8,0
2073,1966,9,5,1010.3,1014.5,0,0,0,23.3,26,21,73,57,0,0
2074,1966,9,6,1012,1016.2,0,0,0,23.3,27.2,19.9,67,57,3.6,0
2075,1966,9,7,1009.2,1013.3,0,0,0,26.4,30.3,21.9,67,52,8.9,0
2076,1966,9,8,1009,1013.1,0.1,0.1,0.1,26.6,30.1,24.6,76,64,2.5,0
2077,1966,9,9,1006.4,1010.4,10.5,4,3,26.2,28.9,23.8,82,73,0.7,0
2078,1966,9,10,1001.3,1005.3,1,1,0.5,28.5,31.6,25.5,73,63,8.6,0
2079,1966,9,11,1002.5,1006.5,0,0,0,27.7,31.5,25.1,76,62,6.6,0
2080,1966,9,12,1001.4,1005.5,0,0,0,25.9,28.7,23.6,80,69,1.4,0
2081,1966,9,13,1001.3,1005.4,5.5,2.5,1.5,23.1,25.5,21.3,81,68,0,0
2082,1966,9,14,1002.4,1006.5,0.5,0.5,0.2,21.2,22.2,20.6,81,73,0,0
2083,1966,9,15,1007.5,1011.7,0,0,0,21.8,25.4,18.9,54,38,7.8,0
2084,1966,9,16,1010.8,1015,0,0,0,21.3,24.5,18.4,54,45,6,0
2085,1966,9,17,1012.6,1016.8,7,2.5,1,18.3,20.5,16.1,80,65,0,0
2086,1966,9,18,1010.5,1014.8,46.5,4,1,16.8,17.7,15.6,91,88,0,0
2087,1966,9,19,1007.1,1011.3,2,1,0.7,18.1,19,16.7,91,87,0,0
2088,1966,9,20,1013.4,1017.6,0,0,0,21.2,25.2,18,73,54,9,0
2089,1966,9,21,1014.7,1018.8,0,0,0,22.4,26.9,17.1,68,48,10.3,0
2090,1966,9,22,1008.1,1012.3,2.5,2,1,22.5,25.9,19.4,76,70,1.6,0
2091,1966,9,23,1009.3,1013.5,0.6,0.6,0.4,21.4,25,19.4,67,47,1.8,0
2092,1966,9,24,1007.9,1012.1,72.5,14.5,6,17,19.9,16,85,67,0,0
2093,1966,9,25,995.7,999.7,30,17.5,5,27.1,29.6,17.1,76,67,5.3,0
2094,1966,9,26,998.2,1002.3,0,0,0,24.8,27.7,22,77,65,7.1,0
2095,1966,9,27,1000.6,1004.7,0,0,0,22.3,25.9,20.4,66,58,2.8,0
2096,1966,9,28,1002.4,1006.5,0.4,0.4,0.1,20.5,24,18.2,62,48,3.2,0
2097,1966,9,29,1010.4,1014.6,0,0,0,20.2,25.5,14.6,52,36,7,0
